id,ui_control_id,button_description,default_text
1,start_message,Кнопка "/start": сообщение при нажатии,Привет! Чтобы воспользоваться ботом нужно подписаться на наш telegram канал https://t.me/mpexperts
2,help_message,Кнопка "/help": сообщение при нажатии,Добро пожаловать! Узнайте на каких позициях находится ваш товар в поиске Wildberries.
3,stop_message,Кнопка "/stop": сообщение при нажатии,Работа приложения остановлена.
4,confirm_subscribe_message,Кнопка подтверждения подписки: сообщение при нажатии,Добро пожаловать в No name Bot! Узнайте на каких позициях находится ваш товар в поиске Wildberries.
5,position_parser_button,Кнопка парсера позиций: подпись кнопки,Парсер позиций
6,position_parser_message,Кнопка парсера позиций: сообщение при нажатии,Для определения позиции артикула отправьте сообщение в формате 'Артикул Поисковая фраза' Например: 36704403 футболка женская
7,residue_parser_button,Кнопка парсера остатков: подпись кнопки,Парсер остатков
8,residue_parser_message,Кнопка парсера остатков: сообщение при нажатии,Отправьте артикул для вывода остатков: Например: 36704403
9,acceptance_rate,Кнопка отслеживания коэффициента приемки: подпись кнопки,Отслеживание коэффициента приемки WB
10,user_subscriptions,Кнопка вывода подписок: подпись кнопки,Мои подписки на позиции
